setting,iteration,iteration,use_selection,use_selection,mean_error,mean_error,variance,variance,dispersion,dispersion,dispersion_ratio,dispersion_ratio,swd_to_truth,swd_to_truth,num_samples,num_samples,run,run,seed,seed
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Accumulate,200.0,0.0,0.0,0.0,0.9984007289914981,0.7811476407683052,82.72487454824801,17.730698911583964,164.43201833423458,36.291247031933096,0.9893610660614971,0.08958538568688486,0.3087981733767593,0.056929381154594505,20000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate + Select,200.0,0.0,1.0,0.0,32.90032348175954,23.80452810103216,6.279136859223349,7.9820823782924455,12.587488543855345,15.986812120006729,0.0829311944926314,0.11586814637399216,2.3065165983748623,0.26969123942972695,20000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Replace,200.0,0.0,0.0,0.0,44.29078384943691,30.70409162199339,4.212259298021815,3.456621439283137,8.415303901880629,6.963379851801484,0.05563390931152783,0.057146579669680994,2.487537778589914,0.4764085765071372,,,3.0,1.5811388300841898,686.8,803.9674744664737
Replace + Select,200.0,0.0,1.0,0.0,16.556380409658274,11.62064329894214,0.00024478516187305323,0.00018443501769456615,0.0004889593477218135,0.00036610632180430477,3.198478324048919e-06,2.757127037298975e-06,2.4549891226223544,0.33128487487904773,,,3.0,1.5811388300841898,686.8,803.9674744664737
