iteration,use_selection,setting,mean_error,variance,dispersion,dispersion_ratio,swd_to_truth,num_samples,run,seed
0,False,Replace,0.0,60.126378898667156,120.82866177391585,0.9987949209877587,0.06777543047393751,,1,42
1,False,Replace,1.1817822938871698,62.614872539421455,126.39142066181199,1.044777846250195,0.35780843292085573,,1,42
2,False,Replace,1.0521208561192879,59.20608336332937,119.22057734507838,0.9855021596804485,0.35505770818108845,,1,42
3,False,Replace,1.1693271602498982,56.60550165216523,113.22136258944016,0.935911399178127,0.3837787811174016,,1,42
4,False,Replace,1.036645337025266,52.78718639247146,105.34617756752952,0.8708134771599156,0.3254475215769777,,1,42
5,False,Replace,0.7001249677669613,54.71126323567412,110.7624025711701,0.9155851227706671,0.33995881298108255,,1,42
6,False,Replace,1.094761852573887,51.15079616919708,100.87082890921769,0.8338193116701493,0.41120442447417027,,1,42
7,False,Replace,2.7277482739402212,49.60308239913785,100.85759380461911,0.8337099075349241,0.4614666142840319,,1,42
8,False,Replace,2.2410422510723578,53.422996811568844,106.78799648285957,0.882731853052469,0.541379483145032,,1,42
9,False,Replace,2.6026262861393885,49.20370174859888,97.99803809271903,0.8100722235666,0.5719606666363027,,1,42
10,False,Replace,4.640862714435507,49.738489653403214,99.39202356564029,0.8215951982469755,0.6939758416290247,,1,42
11,False,Replace,4.784535692418582,47.6225947050587,96.31689392435135,0.7961755352133378,0.7356837433175634,,1,42
12,False,Replace,3.790884098759004,44.33626038093461,86.82128920393795,0.7176828859758396,0.6975218371207252,,1,42
13,False,Replace,4.388528665445788,47.273606013085896,96.59818345272978,0.7985007331270342,0.7048554818032075,,1,42
14,False,Replace,5.548021438556756,47.093325407199295,92.6898049831687,0.7661932614776359,0.7788547268298123,,1,42
15,False,Replace,5.624065297255707,49.028425641584036,97.92782745674944,0.8094918478049538,0.764861654201801,,1,42
16,False,Replace,5.107457238013071,51.381811241608744,101.98682700332436,0.8430443846938944,0.7803268629509696,,1,42
17,False,Replace,5.633080226569955,48.02950897864227,95.19654301168859,0.7869144808834857,0.6968046207559122,,1,42
18,False,Replace,7.531790407834313,49.97692219836417,98.38555114500434,0.8132754872852965,0.7862600922219606,,1,42
19,False,Replace,8.593290760050252,47.18995540360372,92.69230941221187,0.7662139636104872,0.9092508124781074,,1,42
20,False,Replace,12.870435109758242,48.27688697305925,96.03059967230148,0.7938089672098749,0.9594567677536836,,1,42
21,False,Replace,14.886936567738692,45.176754103480064,92.01355713711077,0.7606032557285415,1.0961395534958447,,1,42
22,False,Replace,14.380228430228598,42.31862781367833,84.87106700008188,0.7015619424562161,1.1439381522357448,,1,42
23,False,Replace,12.274216972333244,37.34721700374078,76.35707446905784,0.6311835043234991,1.1237296576150464,,1,42
24,False,Replace,11.540481955969334,42.31500928392135,85.55696040635384,0.7072316804179364,1.022944983097839,,1,42
25,False,Replace,9.259860482965061,41.421496467439496,83.76005243864329,0.692378064352984,0.993737075688028,,1,42
26,False,Replace,12.354413313362864,39.189942055918365,76.05134536852141,0.6286562838086737,1.1356453137636235,,1,42
27,False,Replace,17.73358553905642,38.21960114515816,76.4710541246261,0.6321256839306069,1.2478951208257274,,1,42
28,False,Replace,16.40737092626465,39.68531434078241,79.05927075956174,0.6535204224921144,1.1888373777865648,,1,42
29,False,Replace,13.431010635922595,38.8368305407815,77.07888628719533,0.637150151369658,1.148737113585021,,1,42
30,False,Replace,14.218140724022355,34.38209609989261,71.17887372895015,0.5883794169228463,1.1235257961289533,,1,42
31,False,Replace,14.690590413661488,32.82450043306626,66.03318470026346,0.545844078110179,1.2768063547640331,,1,42
