setting,iteration,use_selection,use_selection,mean_error,mean_error,variance,variance,dispersion,dispersion,dispersion_ratio,dispersion_ratio,swd_to_truth,swd_to_truth,num_samples,num_samples,run,run,seed,seed
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Accumulate,0,0.0,0.0,0.0,0.0,84.12649828456804,20.561120228712866,166.97439950372913,40.643776404475375,0.9956283001906453,0.007363100737912176,0.07995794226111344,0.019043491126447012,,,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,1,0.0,0.0,0.5751894039677512,0.1987811902198746,80.68461559735509,16.970808373267367,161.3287017826638,35.23695241719276,0.967288293973235,0.04606458988434822,0.26814644272419585,0.06559942396099516,100.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,2,0.0,0.0,0.7100274131406469,0.3499436124118878,82.84112545454789,18.948914075348817,165.56455070768538,39.517550932244525,0.9912290463596038,0.05862759939430491,0.2678765562625134,0.058067677032591546,200.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,3,0.0,0.0,0.7503088696386164,0.39257595381676785,83.34438952269986,18.303488402235804,168.47844463699042,36.80382640135925,1.012888455719958,0.07365630277797534,0.2845350640811817,0.04516024525712347,300.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,4,0.0,0.0,0.7458402722864028,0.39105974859503984,84.23540814327643,18.962327470243235,169.1002242483204,38.52266766515233,1.0148400762865812,0.0685179597038189,0.28252850510366184,0.06570094358761727,400.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,5,0.0,0.0,0.7247091949372819,0.43393517663510145,83.4989688930236,18.61237558409488,166.6884390167382,37.626947878102044,1.0015732163033264,0.07858317500487098,0.304484362745514,0.07398016369019561,500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,6,0.0,0.0,0.7372521462886079,0.4783686272862736,82.96453145864689,17.689989194326348,164.37813009415902,35.29289138459441,0.9888100682465524,0.07244213932260637,0.2962730438650589,0.07824072449470454,600.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,7,0.0,0.0,0.7754708022146073,0.49464618158921864,83.0013013496704,17.549714747399978,166.20592805731798,35.24485213001306,1.0003599649700485,0.0752691799611936,0.28313783666345443,0.05003319091513375,700.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,8,0.0,0.0,0.8532237581787653,0.4995985531432323,83.05594599758237,17.856564285967416,165.97639599036083,35.92067274349031,0.9987451996180774,0.0803553956906191,0.29556796788722456,0.057192844412803985,800.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,9,0.0,0.0,0.9090827622339509,0.56435128747017,82.90497230762651,17.678824965226447,166.30951520222467,35.158723486179284,1.0010715442467206,0.077348598532866,0.3110135458929825,0.062004915294347034,900.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,10,0.0,0.0,0.9194381107509004,0.5300825304582674,83.07302249293735,17.84838564738675,165.70896705314038,35.640356133878456,0.9963678620324499,0.06847448608864411,0.3081179608328607,0.08420114558175612,1000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
