setting,iteration,iteration,use_selection,use_selection,mean_error,mean_error,variance,variance,dispersion,dispersion,dispersion_ratio,dispersion_ratio,swd_to_truth,swd_to_truth,component_weight_entropy,component_weight_entropy,smallest_component_weight,smallest_component_weight,component_mean_distance,component_mean_distance,num_samples,num_samples,run,run,seed,seed
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Accumulate,200.0,0.0,0.0,0.0,0.3480055502490636,0.12596760311262795,63.34564547582005,16.629073627058606,126.22185385956884,32.01789058428098,1.0009615522580702,0.04058657850216723,0.13649583954777084,0.017545006617713757,0.7996503406908142,0.02804557306249911,0.2433584048089214,0.017248398798955237,2.2894976536915315,0.637674346835029,100000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate + Select,200.0,0.0,1.0,0.0,31.669377209742674,22.330144791257062,4.1807780513319726,6.090556465161763,8.36339850079828,12.202509555272995,0.0735714826051218,0.11633538290561955,2.205523966262398,0.26598796591198226,0.5579066818219286,0.34177047651659764,0.15914006195146724,0.11339224942088962,2.173637814491463,2.27001871605824,100000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Replace,200.0,0.0,0.0,0.0,16.159065306313828,10.110589403864973,33.53571671214447,16.559625301368047,67.08821911722357,32.96315989272827,0.5615014619570365,0.3362774574759367,1.315947690200216,0.32834286164391735,0.5403086053919487,0.4991452135759451,0.2052,0.20282800595578512,6.289467187166879,2.0583709078419967,,,3.0,1.5811388300841898,686.8,803.9674744664737
Replace + Select,200.0,0.0,1.0,0.0,12.776213775104152,10.741966920007247,0.0008774734218822824,0.0011540123384314704,0.0017497574261353805,0.0022924372143171084,1.5621504619940653e-05,2.193616810878759e-05,2.1540871986983356,0.34064764510293216,0.06528693381689442,0.14598602196796903,0.0119491427135895,0.02671909538043241,4.477514324565904,2.75697609035891,,,3.0,1.5811388300841898,686.8,803.9674744664737
