setting,iteration,iteration,use_selection,use_selection,mean_error,mean_error,variance,variance,dispersion,dispersion,dispersion_ratio,dispersion_ratio,swd_to_truth,swd_to_truth,component_weight_entropy,component_weight_entropy,smallest_component_weight,smallest_component_weight,component_mean_distance,component_mean_distance,num_samples,num_samples,run,run,seed,seed
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Accumulate,200.0,0.0,0.0,0.0,0.9744805332531025,0.494386593854611,60.72053072835449,11.441612058547157,120.65477905944677,22.4070922553844,0.9698783837709228,0.08452591573799458,0.28719883261076945,0.011728403709783074,0.849596323829848,0.05866175153832621,0.27936985302017814,0.04150668208775057,3.5049044029048857,1.0096063120566459,20000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate + Select,200.0,0.0,1.0,0.0,29.313309268856074,18.826192645572828,4.004327530018545,5.321331217087739,7.791093039528354,10.030969537094814,0.06903315337040218,0.09601282813002426,2.1209053670047693,0.24368913664800795,0.5687504954783134,0.34443960758969994,0.16476889226813546,0.11798520050537774,1.995409538397876,1.750088372087783,20000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Replace,200.0,0.0,0.0,0.0,54.11675707412927,27.017451257582,4.817481631031522,3.7221452450747363,9.606793232768045,7.529463314806303,0.0789615536639201,0.07140316696615014,2.327382202945773,0.3855573868056333,3.9863137138648344e-11,0.0,2.2204460492503132e-17,0.0,7.711330076129198,1.661202251129329,,,3.0,1.5811388300841898,686.8,803.9674744664737
Replace + Select,200.0,0.0,1.0,0.0,14.981402528412039,12.346951717182806,0.000285532042549067,0.00021000543733398587,0.0005684746485786582,0.00041532230959650276,5.00810285610883e-06,4.198242150946498e-06,2.1317102341519636,0.34102525231412784,3.9863137138648344e-11,0.0,2.2204460492503132e-17,0.0,5.143509735490035,1.6433587148213384,,,3.0,1.5811388300841898,686.8,803.9674744664737
