iteration,use_selection,setting,mean_error,variance,dispersion,dispersion_ratio,swd_to_truth,component_weight_entropy,smallest_component_weight,component_mean_distance,num_samples,run,seed
0,False,Replace,0.29159999999986647,45.01193038501346,88.69067417308473,0.9747960304098583,0.06271594280864343,0.7219280948873623,0.2,1.799999999999587,,1,42
1,False,Replace,0.7305449514176187,43.8408844255928,87.9991179728861,0.967195160926745,0.1903754187553478,0.6530871631176753,0.1679904907302519,4.196595685839301,,1,42
2,False,Replace,2.159399181814756,46.47903765792835,92.30781926296609,1.0145519428314025,0.3807009425319509,0.5563757484488261,0.12961295210509616,5.600719329027802,,1,42
3,False,Replace,3.6956714686242544,48.189391467519314,92.83566753148756,1.0203535042876755,0.4986797484617088,0.5293587872877497,0.11999927708527744,6.188051575927521,,1,42
4,False,Replace,2.265383140652378,50.32063617085895,102.85038607824546,1.1304249179517538,0.42447468178764347,0.46899558804823893,0.09999999825199579,7.328538709170549,,1,42
5,False,Replace,4.079458187462416,57.75646953358897,112.39434597030561,1.235322240064956,0.5200068869832399,0.5574381850167313,0.129999999995895,10.084256234453552,,1,42
6,False,Replace,3.842272168624466,52.620906674514636,109.51865226321183,1.2037155932953194,0.5062128811148644,0.3274449191544763,0.06000000000000002,11.426109220706024,,1,42
7,False,Replace,11.31389150504646,68.12674238978911,131.04817817903043,1.4403458432626277,0.7286046278719933,0.499915958164528,0.11000000000000001,12.669778170126508,,1,42
8,False,Replace,13.53341534051583,44.479874430146566,87.13396830138265,0.9576863318040109,0.857477399279789,0.3659236509002232,0.07000000000000002,14.599086128521309,,1,42
9,False,Replace,19.556227785407657,37.12777891499395,75.22342092533627,0.8267779312260615,1.0113729614922669,0.3274449191544763,0.06000000000000002,13.383953475322103,,1,42
10,False,Replace,21.121949909977737,41.77034081371351,82.46283476296257,0.9063460700096305,0.9900602688964231,0.3274449191544763,0.06000000000000002,14.115054306411489,,1,42
11,False,Replace,18.734251309264348,31.54446478466721,62.21454074800766,0.68379779407895,0.9763032860893741,0.19439185783157625,0.030000000000000023,13.25606621280135,,1,42
12,False,Replace,16.992160997783756,27.99559128710325,56.60193082939219,0.6221097990341936,1.0350630750469478,0.0807931358959113,0.010000000000000023,12.356790837079416,,1,42
13,False,Replace,18.36913044900131,27.943789440234447,55.3784738223781,0.6086628267912383,1.200765007025241,0.14144054254182079,0.02000000000000002,12.499295897318015,,1,42
14,False,Replace,18.12073986633969,25.447008641994074,50.37974294183902,0.5537219543165602,1.3461412022623946,0.0807931358959113,0.010000000000000023,12.452464614287763,,1,42
15,False,Replace,15.691942525015437,25.280648926686702,49.44841325629235,0.5434857430244685,1.0758173440745509,3.9863137138648344e-11,2.2204460492503132e-17,5.113617370217364,,1,42
16,False,Replace,17.007929869364613,23.902061129621224,48.53870504098158,0.5334871725390805,1.113226090563416,3.9863137138648344e-11,2.2204460492503132e-17,5.255600896474201,,1,42
17,False,Replace,17.949221241006413,24.141502671390125,48.12827779396001,0.5289761813339862,1.0111786471909765,3.9863137138648344e-11,2.2204460492503132e-17,5.234816009833767,,1,42
18,False,Replace,19.37111822826201,22.041616629874984,44.06424511147043,0.4843085433519421,1.1803919708495472,3.9863137138648344e-11,2.2204460492503132e-17,5.446071232353566,,1,42
19,False,Replace,20.541871457098956,19.586090874562107,38.884459465698406,0.42737770442271406,1.1485982678426456,3.9863137138648344e-11,2.2204460492503132e-17,5.5103761254090795,,1,42
20,False,Replace,19.681543406835186,20.159791938673806,40.413400521496015,0.4441822409291517,1.2729871935566546,3.9863137138648344e-11,2.2204460492503132e-17,5.429228543207543,,1,42
21,False,Replace,19.808933512219244,18.282429706733566,37.297866850634946,0.40993952168860637,1.2897118447238798,3.9863137138648344e-11,2.2204460492503132e-17,5.443375234058143,,1,42
22,False,Replace,18.492554001414625,17.35176309789268,34.543879142961316,0.3796705412093431,1.222854387603368,3.9863137138648344e-11,2.2204460492503132e-17,5.375441938824211,,1,42
23,False,Replace,17.97123472421969,16.83884697378329,33.163390303340776,0.36449763770585847,1.2952565833655598,3.9863137138648344e-11,2.2204460492503132e-17,5.320715123417745,,1,42
24,False,Replace,19.28723136842297,16.96724077128074,34.52354394365687,0.3794470377604813,1.3444024113288444,3.9863137138648344e-11,2.2204460492503132e-17,5.431123330792525,,1,42
25,False,Replace,17.133816163312122,16.20020652381684,32.63285037908686,0.3586664923576183,1.2460026624587204,3.9863137138648344e-11,2.2204460492503132e-17,5.249030068827082,,1,42
26,False,Replace,16.792784814196196,14.425882268331888,29.440484658070712,0.3235793147994684,1.1779837777150088,3.9863137138648344e-11,2.2204460492503132e-17,5.203023799523662,,1,42
27,False,Replace,19.42827452299833,13.813857128174607,27.66374453399973,0.3040512275889202,1.256947534061003,3.9863137138648344e-11,2.2204460492503132e-17,5.505876947411018,,1,42
28,False,Replace,21.468360284202245,11.444049682026254,22.694528994932437,0.2494347571776061,1.4648421212712424,3.9863137138648344e-11,2.2204460492503132e-17,5.628386015694973,,1,42
29,False,Replace,21.197215480198256,10.727979390151386,21.407426999077416,0.23528826513670067,1.5043225545709424,3.9863137138648344e-11,2.2204460492503132e-17,5.602839079394338,,1,42
30,False,Replace,20.26914185294722,9.216092466994283,18.277707905628944,0.20088963442342372,1.3622586811216362,3.9863137138648344e-11,2.2204460492503132e-17,5.60798034775321,,1,42
31,False,Replace,19.220932427468732,8.069907339261418,16.14644838582761,0.17746503720341478,1.5147318103293173,3.9863137138648344e-11,2.2204460492503132e-17,5.538720206086059,,1,42
32,False,Replace,18.275555406186903,8.135743851469263,16.247590709681674,0.1785766888704994,1.4908911083518959,3.9863137138648344e-11,2.2204460492503132e-17,5.470568301394047,,1,42
33,False,Replace,17.759701323559955,7.997470180526978,15.85587651489124,0.17427137215375277,1.3655578434478748,3.9863137138648344e-11,2.2204460492503132e-17,5.417829192992806,,1,42
34,False,Replace,15.668543530356136,7.1952580425895825,14.516627422511448,0.15955173323845848,1.3853177942132744,3.9863137138648344e-11,2.2204460492503132e-17,5.244360204901679,,1,42
35,False,Replace,16.6050369202549,7.394084968586813,14.47765465751914,0.15912338497114845,1.2925548934529236,3.9863137138648344e-11,2.2204460492503132e-17,5.314030568427883,,1,42
36,False,Replace,18.54643604721648,7.036865375369278,13.92125055419721,0.15300796735504724,1.4924833984613914,3.9863137138648344e-11,2.2204460492503132e-17,5.5202786251232245,,1,42
37,False,Replace,18.424737334614846,6.854552790276724,13.562612383815644,0.14906618804058241,1.5889449481606508,3.9863137138648344e-11,2.2204460492503132e-17,5.4645620892342155,,1,42
38,False,Replace,18.602264365480785,6.207361856454327,12.611233180904765,0.13860961321962498,1.3927463951124432,3.9863137138648344e-11,2.2204460492503132e-17,5.535179917420942,,1,42
