setting,iteration,iteration,use_selection,use_selection,mean_error,mean_error,variance,variance,dispersion,dispersion,dispersion_ratio,dispersion_ratio,swd_to_truth,swd_to_truth,num_samples,num_samples,run,run,seed,seed
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Accumulate,200.0,0.0,0.0,0.0,0.2689437673611542,0.1462229079261982,81.67310283723319,19.11811649806227,162.96686853267676,37.723296309680975,0.9735873929981498,0.02402436787564194,0.17641718009086285,0.03515325056059259,100000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate + Select,200.0,0.0,1.0,0.0,30.622817597570627,20.205815615971712,5.590555866818046,6.4515909321532385,11.206750600328775,12.895260634424357,0.073384549874532,0.09378707506534505,2.284877341267595,0.28240990593223964,100000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Replace,200.0,0.0,0.0,0.0,35.42274000823424,34.19816289629526,56.52033355982388,21.048598446138534,112.77066726479651,42.57500041405572,0.669190854585678,0.17557980041508925,1.7318174288671002,0.6452769596356958,,,3.0,1.5811388300841898,686.8,803.9674744664737
Replace + Select,200.0,0.0,1.0,0.0,13.519498060392214,9.902293722666828,0.0008215951720985674,0.0009819722268324946,0.001636246732176639,0.0019531304668353004,1.0910126382761172e-05,1.4178151130379303e-05,2.4570501034136716,0.3617779896401685,,,3.0,1.5811388300841898,686.8,803.9674744664737
