setting,iteration,use_selection,use_selection,mean_error,mean_error,variance,variance,dispersion,dispersion,dispersion_ratio,dispersion_ratio,swd_to_truth,swd_to_truth,num_samples,num_samples,run,run,seed,seed
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Accumulate,0,0.0,0.0,0.0,0.0,84.12649828456804,20.561120228712866,169.06993790211672,40.60711598631633,1.0086290204439385,0.0062461406765696,0.0779555889762183,0.007945883581976853,,,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,1,0.0,0.0,0.15248168141202117,0.12418668164566345,82.21697439821784,19.09722946716869,165.3196754083997,36.89809784959415,0.9890298017438643,0.036631634051918244,0.1284757178523768,0.024711496443322524,500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,2,0.0,0.0,0.24908705625342292,0.18886374494703145,81.92676110976143,20.349192896166745,164.1382821400504,41.52910063356913,0.9764368525948548,0.02780892847155679,0.16266355990895703,0.04040173163815353,1000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,3,0.0,0.0,0.26191747871849663,0.19337110641308003,81.95518919175758,19.6978811780378,163.54959188275672,40.85360148065415,0.9735569094973588,0.030164403035004214,0.17540174012531864,0.019835461506923693,1500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,4,0.0,0.0,0.29053196378539703,0.18121072371381783,82.16474978631484,19.70511909919963,163.85282725477927,39.559733244766576,0.9771318031343803,0.028134881218521257,0.1898947008477477,0.058615931554037416,2000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,5,0.0,0.0,0.27808293434177644,0.20297462035398764,81.82770463770603,19.37876248375658,162.91963015239753,38.292459802253404,0.9725613261104519,0.025238355607835047,0.1714570975927653,0.035321220680732,2500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,6,0.0,0.0,0.2706205935578234,0.19050043615759946,81.80034528190443,18.98920346708497,162.54883929079762,36.277818945339384,0.9727970370621509,0.02055922506070384,0.15940437790088544,0.025207206281176908,3000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,7,0.0,0.0,0.2728726771645302,0.17875206584640724,81.87119369117913,19.049239116648327,164.71408339137918,39.17531433016947,0.9831801840090606,0.02390170702659998,0.16111599214002376,0.02762708649883769,3500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,8,0.0,0.0,0.2696333377611123,0.16105772874699698,81.83427336219528,19.190179788579833,163.60341791888482,36.15173156486642,0.9791228774935149,0.027846230135948308,0.17256469191145812,0.028579115823108597,4000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,9,0.0,0.0,0.264405072945492,0.1621552554973221,81.94286266667854,19.078269754867165,164.33324686158682,38.70838107869898,0.9808928200264149,0.026469261271089537,0.16798029654754404,0.032052528305915484,4500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,10,0.0,0.0,0.26699511092656936,0.15898417010586385,81.90649267467401,19.16384688663317,162.82230095918732,37.6456893695653,0.9728165362749163,0.02416556451537846,0.1605059133932433,0.029859371233603393,5000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,11,0.0,0.0,0.2720410347445269,0.15527776426609113,81.68924122669276,19.043541752298697,162.38400806940166,38.51741119137068,0.9690513271381214,0.014082169546542685,0.17361278506907907,0.031196009418833374,5500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,12,0.0,0.0,0.2703982787320792,0.15630246428843989,81.7593969487694,19.208124712234774,164.07609918733542,39.176942248967165,0.9788297874936813,0.010159045272442862,0.14367986409450975,0.0278013506869037,6000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,13,0.0,0.0,0.27000160362982034,0.15231834477436101,81.73377172891821,19.274336816417875,162.22174883716457,38.28506009798596,0.9682605795988739,0.01313705073094914,0.16214285451328886,0.027071661591931858,6500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,14,0.0,0.0,0.26570774193673424,0.15742398947942796,81.80637917688179,19.3832201480785,164.2796240272555,39.59542595956117,0.9798845442651004,0.01903385465213852,0.17530415808442737,0.02958580074293189,7000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,15,0.0,0.0,0.26238288723334796,0.14632578697633083,81.89399662934136,19.38311616008682,164.9856808966839,39.62910228921641,0.9839996578278157,0.01928779613262926,0.17808741894385802,0.03175919858015678,7500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,16,0.0,0.0,0.2637569642683531,0.15706147347318855,81.78995289734289,19.31028193974778,162.21997512911702,39.70708226040829,0.9664881612248297,0.023897683185892468,0.17441211332442658,0.042681770725669164,8000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,17,0.0,0.0,0.2651403185444434,0.15014639439251878,81.81142244544738,19.281500355878542,161.95908311345073,38.379341132451756,0.9665747303224009,0.015335586146395939,0.1483959084437722,0.00685284245686535,8500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,18,0.0,0.0,0.2712561067560019,0.16310029444548216,81.84064257486516,19.218297317938397,163.4596835564821,38.426345991476296,0.9760369602333366,0.01796519413835044,0.16349096685778874,0.02772846731642359,9000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,19,0.0,0.0,0.26008209112894753,0.16297156484586406,81.76251489540971,19.188504220796386,163.16713588984993,38.88909794442192,0.9735849569496695,0.013962773866884668,0.15968785516950043,0.02573395778091643,9500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,20,0.0,0.0,0.26624962726677964,0.16779927082983354,81.7927801469421,19.247545371398637,164.5048376391833,39.36383617436436,0.9813680378546479,0.013339469947914765,0.1816898146302122,0.03477937149299448,10000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,21,0.0,0.0,0.27558561288757766,0.17389280380171165,81.81631586318822,19.193490319475902,163.54441801298032,38.08354292550661,0.9768868732482872,0.025448673521419243,0.18093672584444584,0.032396027171781513,10500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,22,0.0,0.0,0.27757213985952833,0.17431807218550144,81.8576673792725,19.167250697952863,164.08585387654406,38.85908737722878,0.9791379108867012,0.019868253618920625,0.16741547288454742,0.03260835540633878,11000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,23,0.0,0.0,0.27232852300551846,0.16666973723576797,81.75837326110572,19.115872592736,163.94725322910355,38.353055178566315,0.9791298998992615,0.01894000940658946,0.15494504949512738,0.0202311588513867,11500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,24,0.0,0.0,0.2735971227871111,0.1713293957783046,81.67927759799275,19.021194723292844,164.33818008200382,37.483696680050166,0.9823809261662614,0.01918576957354245,0.1613766248730867,0.037909070035179765,12000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,25,0.0,0.0,0.2773850441541391,0.17530154964983397,81.67409873473959,19.103809248394956,163.11025193038762,38.314956386815446,0.9739247405142659,0.014485338127416066,0.17461335400564038,0.025063741793733666,12500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,26,0.0,0.0,0.27732625465740884,0.16956448890532014,81.64980630533528,19.104312986289962,162.77918306305736,38.14701665571212,0.97189855952667,0.013759010671441968,0.16876997547595218,0.02841102373030817,13000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
