setting,iteration,iteration,use_selection,use_selection,mean_error,mean_error,variance,variance,dispersion,dispersion,dispersion_ratio,dispersion_ratio,swd_to_truth,swd_to_truth,mean_abs_scale,mean_abs_scale,num_samples,num_samples,run,run,seed,seed
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Accumulate,200.0,0.0,0.0,0.0,0.09030876524777035,0.05227223367047339,83.67078942238592,19.257802422816084,166.64238563763362,37.1174042191532,0.9990151284986146,0.032710645280668756,0.11904844274601203,0.012898428601692515,1.9828419647102795,0.22333985631729936,100000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate + Select,200.0,0.0,1.0,0.0,23.628432883079235,16.484577840358682,1.2118098222369198,0.5590985769893521,2.3864418556228486,1.0983635532116764,0.014885343438830804,0.008160605634971292,2.35057048969347,0.45305078900251217,0.2334942720731849,0.055205149730569635,100000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Replace,200.0,0.0,0.0,0.0,16.286869127369975,11.988209823756772,91.1526779565178,58.93329056551211,182.9117944772936,118.55001223142165,1.050967413062982,0.5228306117385433,1.295725112456869,0.38778406311611074,1.6169373103023787,0.40295449073602724,,,3.0,1.5811388300841898,686.8,803.9674744664737
Replace + Select,200.0,0.0,1.0,0.0,31.233319759461654,20.772159611469156,1.9621646594157293e-05,3.529312627766366e-05,3.9027475956494e-05,7.003964985866124e-05,2.8567680041916816e-07,5.042387296617458e-07,2.6739615637176763,0.4290139872361685,0.0006383023744060779,0.0007526214474818029,,,3.0,1.5811388300841898,686.8,803.9674744664737
