setting,iteration,use_selection,use_selection,mean_error,mean_error,variance,variance,dispersion,dispersion,dispersion_ratio,dispersion_ratio,swd_to_truth,swd_to_truth,mean_abs_scale,mean_abs_scale,num_samples,num_samples,run,run,seed,seed
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Accumulate,0,0.0,0.0,0.0,0.0,84.12649828456804,20.561120228712863,169.15787957299767,42.76786361014019,1.0081410320206878,0.01813430390871385,0.08626982369822336,0.01611575212413318,1.9847177533338722,0.24259294339532084,,,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,1,0.0,0.0,0.09992030393055375,0.06982675727379165,83.71962659225275,18.777306410186803,166.82380676128682,35.38411768046205,1.002279717031948,0.04308282066092895,0.12729564568928833,0.019658226398534297,1.9862031775910025,0.22110560494463197,500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,2,0.0,0.0,0.08220233593994832,0.05261367909968547,82.98808707185664,18.582916940018002,164.67298448381982,36.63445064395215,0.9884007889699074,0.04864277820162376,0.1265087816445365,0.016618839772152106,1.9755121670258098,0.21699206306408145,1000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,3,0.0,0.0,0.08136422198133786,0.05220612375724097,82.69470319354559,18.38233743468938,166.77854075417176,38.38769617459457,0.9989783177942411,0.03134939651181051,0.12838061121598338,0.017583688749856698,1.9721161528404128,0.2163372336540666,1500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,4,0.0,0.0,0.0837494566433127,0.04856426903057773,82.9301286618439,18.76300374498237,164.86698748259883,37.33633648305237,0.9878022279752232,0.026743658620187984,0.12801652727471136,0.02488435589453772,1.9750374186599111,0.2196341816198885,2000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,5,0.0,0.0,0.09020204403934154,0.053338135820149846,82.64989637005138,18.823053537596167,165.24595941042745,36.537765907766165,0.9913653718879842,0.03570021581663833,0.12736938545680634,0.015590715369332764,1.9725893440607376,0.22105927753214566,2500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,6,0.0,0.0,0.08866909539643178,0.05036808422046095,82.8405978236419,18.912505726015663,166.7630725067931,38.76347023141078,0.9979997222079934,0.023635766398808485,0.11937169635302056,0.012820031518023375,1.974940696124699,0.2217792138294969,3000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,7,0.0,0.0,0.08548343095163467,0.0487439438281028,82.94001544826033,18.769556649221354,166.87104731660253,37.94864400140931,0.9999900651765558,0.033907867792835715,0.1244973993316119,0.009075121054206497,1.976589272947259,0.22004647728195176,3500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,8,0.0,0.0,0.08647154366059148,0.04931351621794868,83.09674003742637,18.82455206734984,165.46965490500688,37.23238605759314,0.9922049400360635,0.044196917322816935,0.13583626912360414,0.021246475908104058,1.978522393576285,0.2206987370997918,4000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,9,0.0,0.0,0.08688151452242707,0.05106769661464572,82.9166484283192,18.791722877571257,164.92783002544104,37.404450980939025,0.9886202304304946,0.038103207431230066,0.12869792937314056,0.016866518657593216,1.9760568458380565,0.2205882892854674,4500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,10,0.0,0.0,0.08722822025363688,0.048514813589818344,82.95752289030547,18.736655089122387,164.54066110711724,35.37507497905666,0.9882275704397877,0.044869626236034174,0.13213279032150288,0.018119883836988832,1.9765392561093933,0.22028832621428007,5000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,11,0.0,0.0,0.08756567824723382,0.04757967336776211,83.26239673933682,18.976411443343153,165.87959469030304,38.533091103756234,0.9931143524746119,0.025381142909482284,0.12437030656906993,0.019861058475255107,1.9794341537868547,0.22222810286640898,5500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,12,0.0,0.0,0.08561802096435385,0.052718876193439144,83.25911135176463,19.029095296226405,165.3894320585132,37.93316254957644,0.9906857003627867,0.03749153554632942,0.13006130057359722,0.030721956312018205,1.979010098029613,0.22238480840153088,6000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,13,0.0,0.0,0.08787913328438077,0.05431062194985921,83.12837532664498,18.942048261828592,164.1747784173405,35.15599225002248,0.9858649138871156,0.044533399048558346,0.1311607302972126,0.021930560552565353,1.9776824088938043,0.22180285243429812,6500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,14,0.0,0.0,0.08780583792036774,0.05500405522855287,83.1685041092987,18.957143352653098,165.640982507488,39.058580187016275,0.9914356613371222,0.03630156019400364,0.1290913729939041,0.024781551214342785,1.9781140852918586,0.22137967873152556,7000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,15,0.0,0.0,0.08823014195990221,0.05641538054627886,83.17091503213446,18.865360559548026,165.8796582674508,36.83859281617711,0.9949604493974895,0.04466142261795681,0.1224917145339485,0.019287546057814884,1.9780911235615606,0.22062986491069952,7500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,16,0.0,0.0,0.08934146644441002,0.05653560329893973,83.13109494016258,18.83892365927947,164.9244150232294,37.816364230814436,0.987572995159066,0.03731747833653175,0.12494721630030267,0.019032684878440016,1.9777058437683255,0.2204420195743328,8000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,17,0.0,0.0,0.09061681568851672,0.05902843889030241,83.23348534179779,18.897776596223846,165.79828243419627,36.67560998888847,0.9948489436517655,0.0539968257770527,0.13472771129875027,0.02379376659806255,1.9786504464083616,0.22044271953058106,8500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,18,0.0,0.0,0.09113069323496809,0.05911542092660665,83.27202822615334,18.853273203652503,164.70917233520652,36.39193245942951,0.9881904220791089,0.04264493163368389,0.12882260382952224,0.0189572854076858,1.9790990515626028,0.21996389789673387,9000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,19,0.0,0.0,0.09170745959851838,0.058434071310067386,83.38813844304875,18.795982340246393,165.23991962151212,36.765629824181225,0.9906352449157083,0.04148844992483382,0.12379871594560268,0.02391098398681143,1.9803552644908229,0.21921748668965124,9500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
