iteration,use_selection,setting,mean_error,variance,dispersion,dispersion_ratio,swd_to_truth,mean_abs_scale,num_samples,run,seed
0,False,Replace,0.0,60.126378898667156,120.01979008564211,0.9870240054638554,0.07549897728942317,1.6984500783498746,,1,42
1,False,Replace,0.43848579831513385,57.72399062196327,116.00590761819754,0.95401446305713,0.21957140241417739,1.662747009680378,,1,42
2,False,Replace,0.4334913199959474,54.945367190957796,111.46037899211159,0.9166327456897815,0.21287532922643598,1.6117506384257811,,1,42
3,False,Replace,0.656147202369457,58.83111043314575,116.40656419444564,0.9573094001539342,0.2783892400730985,1.6511479900315436,,1,42
4,False,Replace,1.183618772030655,52.83913731780214,105.36344473883932,0.8664925107883501,0.3381415905840509,1.574493990872269,,1,42
5,False,Replace,1.1042066528774526,57.745566192729626,113.29552363127875,0.9317246885357388,0.3388477063511305,1.6182622917563083,,1,42
6,False,Replace,0.5208534730351404,52.49531548633581,103.30239673043216,0.8495427739219573,0.2968650926210484,1.5752257741742408,,1,42
7,False,Replace,1.1108498759341996,45.88805302966583,92.30535707130046,0.7591048376044904,0.40323449188416094,1.4902305929535984,,1,42
8,False,Replace,0.8587196487659242,45.729249634899375,90.67088754980043,0.7456632155789196,0.35040046542592873,1.4871344162160993,,1,42
9,False,Replace,1.2398906207058347,45.77687734272463,91.87681472480133,0.7555805722891569,0.3673982140283978,1.4707057442122813,,1,42
10,False,Replace,1.7748131834441543,45.316414445009805,90.33982572389273,0.7429406148375717,0.4478235089227416,1.4727208114959653,,1,42
11,False,Replace,2.264863057056922,44.28397449839857,88.69961968953807,0.7294518166263807,0.46522666250007466,1.456401346073829,,1,42
12,False,Replace,2.1594479463244762,36.70525014567659,73.45059866301274,0.6040462497422562,0.5727662330308547,1.3247374417729092,,1,42
13,False,Replace,2.228720338819715,35.98525990846499,71.382459196966,0.5870381938359867,0.5853178149354531,1.303700678422953,,1,42
14,False,Replace,2.1272437583448793,37.263835934407616,74.17437800034355,0.6099984979514429,0.6012141023418958,1.3091690984084183,,1,42
15,False,Replace,2.111405940705994,37.98247423759951,74.80153653667894,0.6151561517863053,0.6011304800243692,1.3194849617245303,,1,42
16,False,Replace,2.081863805911128,37.545775602362276,75.48841694857032,0.6208049489966314,0.5529973803405546,1.3098738319154795,,1,42
