setting,iteration,iteration,use_selection,use_selection,mean_error,mean_error,variance,variance,dispersion,dispersion,dispersion_ratio,dispersion_ratio,swd_to_truth,swd_to_truth,mean_abs_scale,mean_abs_scale,num_samples,num_samples,run,run,seed,seed
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Accumulate,200.0,0.0,0.0,0.0,1.1755410943810976,1.2820998310418124,87.75950594423762,26.750508179617665,176.40657849388745,52.59617580309405,1.0438621391544316,0.06699330389599602,0.31262992730819483,0.15080812622718526,2.0086779282680625,0.30987386274397694,20000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate + Select,200.0,0.0,1.0,0.0,23.574045204107772,16.511230497538325,1.35429267747056,0.6186231540318655,2.7285584939713026,1.2579278074812346,0.016892611935439044,0.008994170870917223,2.34143433152733,0.3529895088541412,0.24626952468282068,0.05910801090122609,20000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Replace,200.0,0.0,0.0,0.0,44.186369443655266,32.798224472938614,12.361655063383386,15.67217050980756,24.635304557951017,31.11864102174808,0.13355769555185215,0.16582906456024363,2.3005976549564062,0.5822695235810922,0.3787848773886089,0.24055165204642556,,,3.0,1.5811388300841898,686.8,803.9674744664737
Replace + Select,200.0,0.0,1.0,0.0,31.008699717278876,20.458932124060706,2.5908238826596794e-05,5.0689968393615414e-05,5.27958733659591e-05,0.00010363137040074898,3.813324682192871e-07,7.460553016482009e-07,2.664132335760743,0.43209337306378276,0.0006921013179161891,0.0008496042544575776,,,3.0,1.5811388300841898,686.8,803.9674744664737
