setting,iteration,iteration,use_selection,use_selection,mean_error,mean_error,variance,variance,dispersion,dispersion,dispersion_ratio,dispersion_ratio,swd_to_truth,swd_to_truth,component_weight_entropy,component_weight_entropy,smallest_component_weight,smallest_component_weight,component_mean_distance,component_mean_distance,num_samples,num_samples,run,run,seed,seed
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Accumulate,200.0,0.0,0.0,0.0,0.15748449627156283,0.09294988308793259,68.86683995039357,18.445672035966325,137.1051240456517,35.55830454985905,1.0034498724719358,0.04184803835843399,0.14487676702202798,0.024438973510577618,0.9931201440723324,0.00473777702177516,0.45536806749987874,0.02199811989087811,2.1520578211200485,0.24306439743807295,100000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate + Select,200.0,0.0,1.0,0.0,30.792623759255992,20.440900303660165,2.868940907952261,4.266888823218491,5.716169824390998,8.520048571154206,0.04719397247488925,0.07502748885659638,2.3102608854193125,0.2841778773938495,0.6378891834826366,0.1468275040996055,0.17048285821075349,0.07452705455792608,0.8346775940603065,0.898198338968558,100000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Replace,200.0,0.0,0.0,0.0,62.94611316701785,59.32682114436519,41.50823192392813,34.09248696751453,82.72009471460818,67.22973488237196,0.5604195428678389,0.3294464736221833,2.0286601305887864,0.7528765478958047,0.7910060248399428,0.23366870885402127,0.2784,0.1411552336968063,9.09909562366124,4.134456484366017,,,3.0,1.5811388300841898,686.8,803.9674744664737
Replace + Select,200.0,0.0,1.0,0.0,14.578081235535521,12.702177868407473,0.0007582402858027838,0.0009409208693135467,0.0015144030304861554,0.001875003896725317,1.2617090051773194e-05,1.665628216214468e-05,2.2666833594608677,0.37488298798777125,3.9863137138648344e-11,0.0,4.440892098500626e-18,0.0,5.387665102348155,1.5131869845434358,,,3.0,1.5811388300841898,686.8,803.9674744664737
