setting,iteration,use_selection,use_selection,mean_error,mean_error,variance,variance,dispersion,dispersion,dispersion_ratio,dispersion_ratio,swd_to_truth,swd_to_truth,component_weight_entropy,component_weight_entropy,smallest_component_weight,smallest_component_weight,component_mean_distance,component_mean_distance,num_samples,num_samples,run,run,seed,seed
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Accumulate,0,0.0,0.0,1.5118550063439801e-32,2.1200735109849445e-32,68.11120862765388,16.448896182970266,134.97474192085605,33.042258527903286,0.9900664304098902,0.011395244578422987,0.07777489143226586,0.01044811678379816,1.0,0.0,0.5,0.0,1.799999999999379,1.358355034952072e-13,,,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,1,0.0,0.0,0.11286225199998942,0.0396798781363444,69.74761180482705,18.796590649107138,138.17955706698308,36.6066849457717,1.0095880302836515,0.04282648113055162,0.1264203228098374,0.014815792213725983,0.9944923862966419,0.005208647800676534,0.46332822566243054,0.026452872935476407,2.089327892074344,0.3363530474048337,500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,2,0.0,0.0,0.10171608174254035,0.02034337469304583,69.24202541879524,18.86557374428495,137.67446276979223,37.53088862904802,1.004417069065305,0.03802829079433762,0.13345270594886566,0.012330576641519082,0.9902865011934223,0.008856447564161153,0.4503464842754023,0.03332360973871705,2.116348751346671,0.29321174649558795,1000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,3,0.0,0.0,0.136574648317369,0.05853533542103267,69.62048421648943,19.021857168963322,138.804900989727,37.74288506111496,1.0130824183243852,0.040775509325944405,0.14176048873078587,0.0267677770959899,0.9907420728718648,0.00834432747166584,0.4512931152156951,0.03211019554238212,2.0587119466287094,0.28381205736985926,1500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,4,0.0,0.0,0.11701870399056684,0.05429777809638368,69.6161337921602,19.15078541793055,138.78661779645108,38.878705815730115,1.0118377538729983,0.043479866256526806,0.13525129848408984,0.03479840779297621,0.9919621432984765,0.006614327501844179,0.4532589032052223,0.02722574799249409,2.0684366658561912,0.2904443388797161,2000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,5,0.0,0.0,0.13690134138973006,0.0882176764175908,69.2117974285607,19.18718869587617,138.32676996153444,38.16818692019506,1.0090648584245852,0.042471582443526674,0.13268424598048503,0.03348812778006965,0.9924281512917009,0.006269241131062648,0.4540212865263878,0.025075971233763594,2.093656715272278,0.3036263016238202,2500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,6,0.0,0.0,0.13655263632582357,0.08974245709868918,69.04396334558948,19.203795837548835,137.9263587894099,38.19890435756897,1.0062447237056587,0.04568584438799308,0.1410030572224131,0.04318416244879841,0.9927738064432863,0.005531929172703898,0.45410132558616584,0.02212382671238844,2.069041677709417,0.28392110694701284,3000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,7,0.0,0.0,0.1341699665754645,0.09646580931124453,69.06220852981535,18.805470601251674,138.85852456831702,38.995399104970126,1.0122409617143115,0.049237024050947355,0.12929040923982638,0.043140500655920566,0.9925351428007186,0.00596820265902812,0.4536531840199978,0.023247125414931197,2.0634019767975618,0.27194236845433173,3500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,8,0.0,0.0,0.13605969568532814,0.09153288357480928,68.85396949467653,18.524722599328193,137.52596355591314,37.36274785791041,1.004335656295581,0.04953519428162833,0.13344946150590523,0.026088553560726424,0.9927587377166353,0.005440963908891789,0.4541798690430319,0.02247342994547253,2.0683844665873923,0.2752559909245021,4000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,9,0.0,0.0,0.1252747845874152,0.07303157138715545,69.07861480161148,18.73832070932132,137.56991223654546,38.51574072341845,1.0031428880798865,0.04654406773376178,0.1398012646802776,0.035991287704838636,0.9927800908100843,0.005454103513343972,0.45445282254302716,0.022956435699215922,2.07802730499965,0.27382300202372917,4500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,10,0.0,0.0,0.1313374788502428,0.080683979216158,69.06730449445175,18.8972171790803,138.18478388316257,37.769238813523,1.0088657121753795,0.05270861948190743,0.12999541945782003,0.03228526798942495,0.9923902256733352,0.005738815291098492,0.45358192947237513,0.024391478507344595,2.088195515329574,0.26885598901797975,5000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,11,0.0,0.0,0.13097373766201778,0.07722784483919855,68.95164666721334,18.962525137603915,137.9743232793272,37.99165096836173,1.0072928396113239,0.05145847453465542,0.14036227456335934,0.04541411032921639,0.9926693036632924,0.005563681755322469,0.4545175860159098,0.024126826210914512,2.0888598777089404,0.27310989638219163,5500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,12,0.0,0.0,0.141271579915834,0.08428984112128188,68.83120890813669,19.01640379491752,136.67825921941358,37.76428419845229,0.9972985223108234,0.045877335800561116,0.13174279913764614,0.03739650252359999,0.992574331596332,0.005604430652339421,0.45453482768648656,0.02500060740490825,2.1033125943025,0.28401989962398255,6000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,13,0.0,0.0,0.1366697181097584,0.07978370139266325,68.84565186328481,18.959045569790813,138.37998949588274,37.938075901893065,1.0102098678710392,0.045804682771440446,0.13031791479590202,0.031228878656387363,0.9925013523558521,0.0056601217126675445,0.45474379571174595,0.026080339473139053,2.111032143611628,0.272608005344866,6500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,14,0.0,0.0,0.14044919699404898,0.08548192295914527,68.74734291002764,18.76982835047778,137.74721337862007,38.44187601273693,1.0046799894445917,0.049528065535112555,0.13913045279026565,0.02708354800426605,0.9927431426200866,0.005407439463746358,0.4553229754858843,0.02532050288251094,2.11650635706372,0.2704022484261618,7000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
