setting,iteration,iteration,use_selection,use_selection,mean_error,mean_error,variance,variance,dispersion,dispersion,dispersion_ratio,dispersion_ratio,swd_to_truth,swd_to_truth,component_weight_entropy,component_weight_entropy,smallest_component_weight,smallest_component_weight,component_mean_distance,component_mean_distance,num_samples,num_samples,run,run,seed,seed
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Accumulate,200.0,0.0,0.0,0.0,1.0175312067644122,0.5439583833803946,64.34688968256947,12.692394752138101,127.34642261567441,24.17798116380363,0.9455089347631084,0.0797132716277796,0.32619402557844834,0.04248256789857638,0.9624382389897643,0.0442127330186393,0.40146445078312565,0.06192944243662852,3.2753765997687907,1.1715296617535933,20000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate + Select,200.0,0.0,1.0,0.0,30.276849161648947,19.730841370687205,5.52825576440697,9.348965406919609,11.025391430214487,18.636732130057347,0.0922881906439535,0.16327422472492928,2.191799244626638,0.2686310913803496,0.7415747358411885,0.17323848866529082,0.22714308984777826,0.09689383548426214,1.3773510762801846,2.277673649239203,20000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Replace,200.0,0.0,0.0,0.0,224.4876747619206,461.66015797889406,1.8653046833933264,2.1191597173483006,3.732882066623359,4.276106268814862,0.025817018320079082,0.02910519871262126,3.518530409837415,3.2034161929347165,3.9863137138648344e-11,0.0,2.2204460492503132e-17,0.0,10.803469165890164,12.630186358256978,,,3.0,1.5811388300841898,686.8,803.9674744664737
Replace + Select,200.0,0.0,1.0,0.0,11.74813613625599,9.70219591763883,0.00027153926938303736,0.00022674125146109742,0.0005393363993312151,0.00044652035744898984,4.357307286539144e-06,4.080267906092278e-06,2.145181368001185,0.32766981091681385,3.9863137138648344e-11,0.0,2.2204460492503132e-17,0.0,5.302672702236903,1.3113608910780414,,,3.0,1.5811388300841898,686.8,803.9674744664737
