setting,iteration,iteration,use_selection,use_selection,mean_error,mean_error,variance,variance,dispersion,dispersion,dispersion_ratio,dispersion_ratio,swd_to_truth,swd_to_truth,mean_abs_scale,mean_abs_scale,num_samples,num_samples,run,run,seed,seed
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Accumulate,200.0,0.0,0.0,0.0,0.19492553919954783,0.06746708126654627,82.01855121631408,18.771977849400788,163.68821414947064,36.872187584481345,0.9802546196824272,0.05197199961961983,0.15185806099595417,0.0183358865537206,1.9573207344303376,0.23497859754261613,60000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate + Select,200.0,0.0,1.0,0.0,23.593657313721046,16.50298470896579,1.2951947567025812,0.6025059189372625,2.5884052097548844,1.1753700159232778,0.016142273479686782,0.008734875579188065,2.3393809626111057,0.3679091956825627,0.24126300441998735,0.05768505060646395,60000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Replace,200.0,0.0,0.0,0.0,70.37667493632127,53.42348963223265,221.4490321763506,304.0117404377646,432.06065146110996,595.7375432791792,2.228195538196203,2.4741443807074743,2.3043105175715115,0.9693087057244049,1.8039466340884869,0.7292657197612663,,,3.0,1.5811388300841898,686.8,803.9674744664737
Replace + Select,200.0,0.0,1.0,0.0,31.220045509199586,20.762483370026278,1.794728751565932e-05,3.128606883221478e-05,3.6096295200884795e-05,6.2952749256569e-05,2.63937143649138e-07,4.5372537958509155e-07,2.6842281896932154,0.3668709428159248,0.0006299286510141331,0.0006860893437123629,,,3.0,1.5811388300841898,686.8,803.9674744664737
