setting,iteration,use_selection,use_selection,mean_error,mean_error,variance,variance,dispersion,dispersion,dispersion_ratio,dispersion_ratio,swd_to_truth,swd_to_truth,mean_abs_scale,mean_abs_scale,num_samples,num_samples,run,run,seed,seed
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Accumulate,0,0.0,0.0,0.0,0.0,84.12649828456804,20.561120228712863,166.68114448633696,40.57696613657269,0.9951184706251496,0.026136511901257393,0.08344886861011361,0.01246755569123335,1.9847177533338722,0.24259294339532084,,,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,1,0.0,0.0,0.16007403651890592,0.0661201314062891,82.25269508418123,18.69392383372633,164.71663850673525,37.526865097551244,0.9860167422410692,0.0534777369073857,0.14667945452564451,0.0383539504884466,1.9634146833352326,0.23162401775836017,300.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,2,0.0,0.0,0.16707648001494949,0.0696345984739815,81.86531352906435,19.27774698646503,164.65676967823737,38.940579006284636,0.9838541165759509,0.038389120574129534,0.15117455646150732,0.039535577415804234,1.957639503959592,0.24111764104117897,600.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,3,0.0,0.0,0.17499262396880638,0.08248204980515564,82.11215213848165,18.367080941713944,164.5833702949351,36.85270966832755,0.9861587149582058,0.06546665046989746,0.15400067289090286,0.03950603350030973,1.9603704916597664,0.2314551357547543,900.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,4,0.0,0.0,0.17950714302254808,0.06819855995718185,82.18760839426047,18.70763720856171,164.93937323809746,36.560013219771264,0.9885898796225728,0.06012194848679979,0.15971579946568926,0.042111490627424995,1.960643609561331,0.23441162984704653,1200.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,5,0.0,0.0,0.1872361358400399,0.0785214935401053,81.99449712496555,19.079995212982226,164.28962375011406,37.95913891082748,0.9830756978572046,0.07016246436232065,0.16619463765226045,0.03636924069928138,1.9564301760932863,0.23748358860575414,1500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,6,0.0,0.0,0.19735458186701266,0.08532429449526159,82.08242696161751,18.596547754130956,164.5457885853447,37.68556459172717,0.984839399638917,0.06396282714841724,0.17261357798460097,0.05677658923354454,1.9583514784311706,0.2321748606102573,1800.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,7,0.0,0.0,0.1956263949708136,0.0755133014048815,81.97980222174235,18.697605814839484,164.54489445363834,37.68471725241096,0.9846851662796485,0.05534310451597915,0.1681518881262866,0.033708684278813024,1.9574072762868924,0.23420370183674505,2100.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,8,0.0,0.0,0.202767228972772,0.08058195899076145,82.17867304447796,18.993386395254127,163.8728892138961,40.77259746733637,0.976791625649485,0.06047900317219189,0.16964267339207856,0.028590137438142725,1.9597405325652055,0.23783540958144087,2400.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,9,0.0,0.0,0.20178445520725402,0.07753917768044188,82.30814658238988,19.050387665562926,166.28276303353877,38.09103729625193,0.995050313440929,0.057072851725250374,0.15621252729827087,0.035320632363388726,1.9613284556124662,0.2370064196397973,2700.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
