setting,iteration,iteration,use_selection,use_selection,mean_error,mean_error,variance,variance,dispersion,dispersion,dispersion_ratio,dispersion_ratio,swd_to_truth,swd_to_truth,num_samples,num_samples,run,run,seed,seed
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Accumulate,200.0,0.0,0.0,0.0,0.37350108464831233,0.27602256721538143,81.64394673931315,22.737635932649347,163.13123071627166,47.26886535929584,0.9646049638241472,0.048185582670283084,0.18774995478199957,0.0549116528873644,60000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate + Select,200.0,0.0,1.0,0.0,31.437472500043423,21.52763403485957,5.051839769690188,5.3875084359880185,10.033534976133641,10.68382560535452,0.06522950251140312,0.07789967706186507,2.304124220848027,0.2499280177716316,60000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Replace,200.0,0.0,0.0,0.0,23.54195649116835,14.340011748043413,35.1395374348602,42.37102660231096,70.23576965222348,86.02468799458434,0.4221364059328236,0.5152966061243887,1.859317340122287,0.1726744429655052,,,3.0,1.5811388300841898,686.8,803.9674744664737
Replace + Select,200.0,0.0,1.0,0.0,14.319079928514483,11.357211382250501,0.0008050704425524172,0.0012331502491033366,0.0016194896109628615,0.0024887020761218243,1.0967853968222466e-05,1.788796120369435e-05,2.4435321237677425,0.3023875138779681,,,3.0,1.5811388300841898,686.8,803.9674744664737
