setting,iteration,use_selection,use_selection,mean_error,mean_error,variance,variance,dispersion,dispersion,dispersion_ratio,dispersion_ratio,swd_to_truth,swd_to_truth,num_samples,num_samples,run,run,seed,seed
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Accumulate,0,0.0,0.0,0.0,0.0,84.12649828456804,20.561120228712866,168.64424041594552,40.493765640014516,1.006383727084933,0.012378786191534971,0.07593369170294517,0.009771846750773975,,,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,1,0.0,0.0,0.351443611673056,0.44987017131104956,83.4775444016407,21.30321459058132,165.17021879253758,40.692638154742056,0.9840110392369033,0.01783145784571022,0.18237264049461963,0.10966000581912774,300.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,2,0.0,0.0,0.32850259948292626,0.23772398684600332,83.27215695190812,21.502219517752717,166.16906671453108,42.813709350662435,0.9883464636678687,0.017093280719256802,0.17990012317882975,0.08253970914674981,600.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,3,0.0,0.0,0.3495589261741154,0.29693698682043,81.95897682546945,21.129856875242965,163.31341432212662,44.37178939151907,0.9684917332485394,0.03336204705431274,0.1818464938489853,0.06541927564123948,900.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,4,0.0,0.0,0.3272400028731825,0.23964300530768656,81.33741722595212,20.958391052822027,162.16709199099355,40.9000684576323,0.9650498020292739,0.016697412672431064,0.16738893789981876,0.05064035265129273,1200.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,5,0.0,0.0,0.3981833973895436,0.34605381307231403,81.01255081765983,20.89087955900866,161.79486293288176,41.93784340295863,0.9612740646690797,0.026128771383158875,0.19793471797903472,0.06598630350213555,1500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,6,0.0,0.0,0.38328695609709335,0.30061759142051414,81.3235485836313,21.475018556831515,162.58753744217833,43.24196026457892,0.9654418730090448,0.029372505438231417,0.19412638461341372,0.06028251491438737,1800.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,7,0.0,0.0,0.4060027930894382,0.3179528906063342,81.52204268050725,21.401140339567707,163.22413040819984,42.89964164778237,0.9691233046243214,0.030095835534210576,0.19848256081850746,0.06516662595734647,2100.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,8,0.0,0.0,0.3986483611606775,0.2630406573666602,81.46693857378439,21.201293540019492,162.43158007109088,41.8275122964666,0.9651950148131796,0.03245752049671585,0.18750953966250483,0.04646157044028413,2400.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,9,0.0,0.0,0.3830476660304245,0.24752984703156242,81.2429166660233,21.260713012745292,163.17896854842184,41.21658058535828,0.9709217409952791,0.01969062865124517,0.20217200052115358,0.0565476157304641,2700.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
