setting,iteration,iteration,use_selection,use_selection,mean_error,mean_error,variance,variance,dispersion,dispersion,dispersion_ratio,dispersion_ratio,swd_to_truth,swd_to_truth,component_weight_entropy,component_weight_entropy,smallest_component_weight,smallest_component_weight,component_mean_distance,component_mean_distance,num_samples,num_samples,run,run,seed,seed
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Accumulate,200.0,0.0,0.0,0.0,0.3080022660501072,0.10421938811466876,68.8995053343209,17.568637353041915,138.7416999707591,34.84204410280693,1.0162214328212387,0.03182686647722858,0.2002364899804104,0.04537093236509443,0.9868308182114914,0.010958891913295358,0.43894844732813604,0.031921204400721936,2.804776030809606,0.6494045102207381,60000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate + Select,200.0,0.0,1.0,0.0,29.30973601672046,18.32066561455259,4.276989037996655,7.2193873211260895,8.72260439173938,14.499338906887239,0.07288988137397473,0.12713634245581115,2.2452696680058937,0.32345282369819095,0.6485588459239405,0.13611532171346832,0.1732114133661973,0.0651541580213346,1.4270613285950522,2.1134618013534685,60000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Replace,200.0,0.0,0.0,0.0,67.0544621298126,68.06707445066498,39.370845570314415,30.277117795822587,78.9220730637169,60.58802013055192,0.5797631209544166,0.45952844624403927,2.388896252278282,0.8314581855108453,0.5267746865236541,0.5020856135504972,0.22066666666666665,0.23774870019506827,10.879299050919522,4.427479832423704,,,3.0,1.5811388300841898,686.8,803.9674744664737
Replace + Select,200.0,0.0,1.0,0.0,15.350812210863888,12.610741066248366,0.0006778006667515859,0.0007830538354538056,0.0013325489785961527,0.0015072949026488074,1.115984847234173e-05,1.3530840418274111e-05,2.2746056143583275,0.3666444707919523,3.9863137138648344e-11,0.0,7.401486830834377e-18,0.0,5.501525928060294,1.3663929937652972,,,3.0,1.5811388300841898,686.8,803.9674744664737
