iteration,use_selection,setting,mean_error,variance,dispersion,dispersion_ratio,swd_to_truth,component_weight_entropy,smallest_component_weight,component_mean_distance,num_samples,run,seed
0,False,Replace,3.9000081373841526e-33,48.91111311893317,97.98365665591267,0.9952602102978209,0.07885494428076831,1.0,0.5,1.7999999999993865,,1,42
1,False,Replace,0.12051384810785637,47.816083272685134,96.3694314611611,0.9788638625636445,0.12387260430946985,0.9999586686100991,0.4962152633649064,2.389711633781205,,1,42
2,False,Replace,0.2534820944657535,47.28928814376939,93.54276867826748,0.9501522886975761,0.16689241594165272,0.9998361171883003,0.49246373409641725,2.3110915822099756,,1,42
3,False,Replace,0.4230574337148744,50.30919567307588,99.63257573185378,1.0120089580205995,0.17870356087437117,0.998585356974162,0.47786139924976273,2.780527137728054,,1,42
4,False,Replace,0.4629277284182619,52.402174123193944,105.4624296580111,1.0712251767511216,0.1956304099373816,0.9997286141178179,0.4903020991030715,2.6908697532910555,,1,42
5,False,Replace,0.5656849889208381,51.363127251396456,102.62887551603976,1.0424436045228873,0.23343754759375313,0.995986645929255,0.46272222816226966,2.2070379756204486,,1,42
6,False,Replace,0.7157888040720595,52.94273610852131,107.52867163920648,1.092212844479754,0.23732898561925628,0.998771447904892,0.47936840201198616,2.2684280283894993,,1,42
7,False,Replace,0.7681669305590517,54.95876500564672,111.97909043749439,1.1374175745364388,0.3152101372090906,0.9989542643188315,0.48096485373253006,2.1385310342800627,,1,42
8,False,Replace,0.5173351548230195,56.70735176233111,112.18016520635878,1.139459973479033,0.2745213428815023,0.999329281127791,0.4847547573877541,1.8385625898824096,,1,42
9,False,Replace,0.3745876414292704,54.795411926794074,110.83587768430387,1.1258054934610087,0.2767181741053193,0.9936460168997944,0.4531076985444476,2.0338352806687836,,1,42
10,False,Replace,0.3975798367427998,51.488770831338755,103.03153443142797,1.0465335763659966,0.2734626069955769,0.9917302555587629,0.4465154735968423,1.957864844748395,,1,42
11,False,Replace,0.5925469757889198,49.81769352977952,99.97835251406231,1.015521154694229,0.2952498291022871,0.9799727623194023,0.4168812041707192,1.8620494665659673,,1,42
12,False,Replace,0.7058788851661439,49.96722759471643,100.27156075703785,1.0184993911422693,0.3436579350584963,0.9714995221672542,0.4009429656756931,2.0707229394260422,,1,42
13,False,Replace,0.706497220353951,45.141044588037786,92.11577108823045,0.9356576885772504,0.35925225126408383,0.9950780406029441,0.4587219141506287,2.289332917682383,,1,42
14,False,Replace,0.8230317110544543,46.85928552147245,95.86020391509543,0.9736914294060769,0.3735437212675583,0.9974833192033579,0.47047530172197605,2.5042716665852907,,1,42
15,False,Replace,1.0948659046288842,44.78451539854192,88.8972383075182,0.902965730331285,0.35643862617400457,0.9937551670630991,0.4535116188152695,2.4583052648329096,,1,42
16,False,Replace,2.6725329109645304,48.59520998165374,94.34707293251496,0.9583219370710477,0.5691381890421261,0.9747198472371207,0.4066718834714686,2.611853955437519,,1,42
17,False,Replace,2.752127300847124,47.37891016052045,95.35996124202939,0.9686102592906971,0.5362004314096636,0.9671665094859405,0.39373320985739674,2.7539789516313604,,1,42
18,False,Replace,2.2353547919645513,48.59068612984902,98.85341311161862,1.0040946835411866,0.4119599156882242,0.9895067207745263,0.43976821569181623,2.640001869305436,,1,42
19,False,Replace,2.0033762978037863,54.20561718357677,106.92970035932325,1.0861288473895825,0.4992512080374464,0.9937413467887082,0.4534602806402782,2.7493480507230297,,1,42
20,False,Replace,1.5480533014859557,52.702523660744156,103.46972254594796,1.0509844328648377,0.4666655810890903,0.9945766453082526,0.4566729290061685,2.3611464647507012,,1,42
21,False,Replace,2.1438903971269676,53.548360448312934,108.37629062877953,1.1008224583950355,0.5285824483858215,0.9895822169688078,0.43998475648818147,2.7826211803112697,,1,42
