setting,iteration,iteration,use_selection,use_selection,mean_error,mean_error,variance,variance,dispersion,dispersion,dispersion_ratio,dispersion_ratio,swd_to_truth,swd_to_truth,component_weight_entropy,component_weight_entropy,smallest_component_weight,smallest_component_weight,component_mean_distance,component_mean_distance,num_samples,num_samples,run,run,seed,seed
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Accumulate,200.0,0.0,0.0,0.0,0.41143084467320284,0.10438838013971817,64.38818033558456,16.1568323402836,129.41989108796105,32.09323541299335,1.0262802116141934,0.0527339766549371,0.15983683843279245,0.022554874638250916,0.743636403973749,0.04743632683359096,0.21227518829310382,0.025081449429723672,2.499179726839974,0.684493419938435,60000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate + Select,200.0,0.0,1.0,0.0,34.75505777508548,26.817403984994517,7.771519381052134,13.832661102512153,15.734479154036212,27.796045940225767,0.1421770774872316,0.26369051712101294,2.1580184045082764,0.2345906930202522,0.5716900758968945,0.3548721715427592,0.16922489826060438,0.1260145710517355,2.596572992948917,3.0712613587784,60000.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Replace,200.0,0.0,0.0,0.0,46.935487011437225,77.62786618056705,47.28727289940182,60.52291945043699,93.2338879906511,119.6874802282321,0.644877328113203,0.6509426607272829,1.6908401854697632,0.8909084494457283,0.2774230611961304,0.43621335191686517,0.10866666666666666,0.20286284364893767,6.597625500151116,3.6413938125211507,,,3.0,1.5811388300841898,686.8,803.9674744664737
Replace + Select,200.0,0.0,1.0,0.0,12.940259150175175,9.76731224825047,0.0005949791305984135,0.0005208674176263758,0.0011830470954134415,0.0010187073438223556,1.049240995762662e-05,1.0114122346883786e-05,2.116065903255067,0.3326235226304277,3.9863137138648344e-11,0.0,7.401486830834377e-18,0.0,5.131662626106123,1.4093451085724735,,,3.0,1.5811388300841898,686.8,803.9674744664737
