setting,iteration,use_selection,use_selection,mean_error,mean_error,variance,variance,dispersion,dispersion,dispersion_ratio,dispersion_ratio,swd_to_truth,swd_to_truth,component_weight_entropy,component_weight_entropy,smallest_component_weight,smallest_component_weight,component_mean_distance,component_mean_distance,num_samples,num_samples,run,run,seed,seed
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Accumulate,0,0.0,0.0,0.2915999999997966,6.822220551967122e-14,62.77201873058,15.215228969247487,125.34766428451823,30.184446641284627,0.9957420997194102,0.013529159508230366,0.06861942266972881,0.014559688172416905,0.7219280948873623,0.0,0.2,0.0,1.7999999999993719,2.1047292916485777e-13,,,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,1,0.0,0.0,0.44505839062580055,0.22433773938057044,64.93388388702654,16.506207565769238,129.80934210363688,32.304556458803546,1.0290699729431962,0.046967759920515155,0.14740980696271783,0.019580991629064643,0.7316846720014475,0.02521294546739736,0.20524331430334625,0.013162910805679828,2.3743318781027547,0.3192993399561038,300.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,2,0.0,0.0,0.45185269089978775,0.24430892966921303,64.2915061827722,15.324559972335758,129.38812496832278,30.745168966265776,1.0280055669077695,0.045936683077275595,0.15060479310365651,0.011595401287933644,0.7493398260100854,0.025963808633020218,0.2145102255431754,0.014106903134715005,2.374334944810216,0.5085767761382406,600.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,3,0.0,0.0,0.46336561308256624,0.2447560094640728,64.19901814994047,16.198997748625015,127.98924242256194,32.15611306064135,1.014522890189674,0.0414201310781692,0.15546682927321231,0.020686783484023686,0.7483102300575382,0.04162707076127846,0.21450245034295903,0.022206520606482007,2.4363902043411567,0.6760852685787017,900.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,4,0.0,0.0,0.4433025454919564,0.19403021624492095,64.10825097038135,15.857278049876529,127.98380426671221,32.235474654333224,1.013964873416483,0.053286527179980524,0.1507796120888997,0.023953854130005784,0.7452176754566519,0.04728999758244266,0.2130649618884716,0.024421155695154354,2.449125677329655,0.7080991238530177,1200.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,5,0.0,0.0,0.446628911856717,0.15619312857433545,64.0099677001643,15.72248046120078,128.45976953073887,32.919367725958026,1.0171095418146705,0.055693299702369484,0.16221412611622923,0.017832162046297773,0.7449609317265069,0.05398804347241221,0.21325626212348286,0.02777708480153536,2.4493241852610153,0.6997609796995848,1500.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,6,0.0,0.0,0.4685798247242676,0.15634775504541548,63.99878632128912,15.801096655106168,127.4372102254064,31.32835037976688,1.0110137991922525,0.048941513567799175,0.15382806431510293,0.018521334580689046,0.7438767961570498,0.05504765402063669,0.21272150275124865,0.028094266356897525,2.417479186880301,0.656293736099942,1800.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,7,0.0,0.0,0.44388569151468243,0.17500141451341766,63.88747612158073,15.837529869958834,128.00711076115132,31.70736840935826,1.015363121364935,0.04371457512635868,0.14935439429391362,0.01908985617613437,0.7424728780027504,0.05082826817699905,0.21176615159869971,0.025966462065352497,2.4274209491193104,0.6238041513788943,2100.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
Accumulate,8,0.0,0.0,0.44200884622609626,0.16077860496599894,64.08214284900544,15.868160909846916,127.28937142381096,30.939325130383878,1.0103598679465233,0.043199145641206776,0.15465410693277626,0.026594333491719434,0.7444116266237616,0.048704735112458666,0.21270606465349884,0.025163139467843883,2.448544460973579,0.5949444786625435,2400.0,0.0,3.0,1.5811388300841898,686.8,803.9674744664737
